Version no.,                   model,  d_model--dim_ff,         Loss, epochs trained, grad accu, batch, data used, train_len,   time per epoch, val_acc,  val_acc_seg
   DGX-7807,          PIBTransformer,       20--50,      simple loss,              3,         1,   128,       seg,      1000,   3:53:00 (A100),   99.35,        -0.00
   DGX-7815,          PIBTransformer,       20--50,      simple loss,              4,         1,   128,       seg,      1000,   3:53:00 (A100),   99.70,       100.00
   DGX-7850,          PIBTransformer,       20--50,      simple loss,              3,         1,   256,       seg,      1000,   3:47:00 (A100),   98.92,        99.89
   DGX-7870,    PIBTransformer (AMP),       20--50,      simple loss,              3,         1,   256,       seg,      1000,     35:22 (A100),   98.97,       100.00
   DGX-7883,    PIBTransformer (AMP),       20--50,      simple loss,              3,         1,  1024,       seg,      1000,     35:30 (A100),   98.15,        98.53
   DGX-7885,    PIBTransformer (AMP),       20--50,      simple loss,              4,         1,   256,       seg,      1000,     35:27 (A100),   99.57,        99.89
   DGX-7886,    PIBTransformer (F16),       20--50,      simple loss,              3,         1,   256,       seg,      1000,     34:55 (A100),   98.52,        99.44
   DGX-7887,    PIBTransformer (AMP),       20--50,      simple loss,          (3+)3,         1,   256,       str,      1000,     34:46 (A100),   96.27,        -0.00
 HAL-193002,    PIBTransformer (AMP),       20--50,      simple loss,              3,         2,   128,       seg,      1000,   3:50:00 (V100),  failed,       failed
   DGX-7891,    PIBTransformer (AMP),       20--50,      simple loss,          (3+)5,         1,   256,       str,      1000,     35:06 (A100),   97.72,        -0.00
   DGX-7892,    PIBTransformer (AMP),       20--50,      simple loss,          (3+)6,         1,   256,       str,      1000,     34:53 (A100),   98.11,        -0.00
   DGX-7893,    PIBTransformer (AMP),       20--50,      simple loss,          (3+)7,         1,   256,       str,      1000,     34:57 (A100),   97.62,        -0.00
   DGX-7933,    PIBTransformer (AMP),       20--50,      simple loss,              6,         1,   256,       str,      1000,     35:05 (A100),   88.08,        -0.00
   DGX-7934,    PIBTransformer (AMP),       20--50,      simple loss,              8,         1,   256,       str,      1000,     35:00 (A100),   88.95,        -0.00
CC-15676794,    PIBTransformer (AMP),       20--50,         weighted,              3,         1,   256,       seg,      1000,     21:30 (L40S),   98.62,        99.55
   DGX-7939,    PIBTransformer (AMP),       20--50,         weighted,              3,         1,   256,       seg,      1000,     35:05 (A100),   98.86,        99.66
CC-15677197,    PIBTransformer (AMP),       20--50,         weighted,          (3+)3,         1,   256,       str,      1000,     21:33 (L40S),   91.49,        -0.00
CC-15677196,    PIBTransformer (AMP),       20--50,         weighted,              4,         1,   256,       seg,      1000,     21:00 (L40S),   98.94,        99.55
CC-15688303, PIBFilTransformer (AMP),      32--128,      simple loss,              3,         1,   256,       seg,      1000,     25:10 (L40S),   99.90,       100.00
CC-15689347, PIBFilTransformer (AMP),      32--128,      simple loss,          (3+)3,         1,   256,       str,      1000,     25:07 (L40S),   98.83,        -0.00
CC-15691919, PIBFilTransformer (AMP),      32--128,      simple loss,          (3+)1,         1,   256,       str,      1000,     26:10 (L40S),   98.99,        -0.00
CC-15691928, PIBFilTransformer (AMP),       16--64,      simple loss,              3,         1,   256,       seg,      1000,     20:00 (L40S),   99.85,       100.00
CC-15711356, PIBFilTransformer (AMP),       16--64,      simple loss,              6,         1,   256,       seg,      1000,     18:30 (L40S),   99.88,       100.00
